odor,DA4m,DL5,VM3,DL1,DC1,DM2,DA3,,VC3,DA4l,VM2,DM3,VA1v,VA5,DM4,DL3,DM6,VC4,VA6,DM5,,DL4,VA1d,VM5v,cas_number
odor,2a,7a,9a,10a,19a,22a,23a,33b,35a,43a,43b,47a,47b,49b,59b,65a,67a,67c,82a,85a,85b,85f,88a,98a,
ammonium hydroxide,3,-21,32,10,1,13,-2,-9,4,-1,3,16,-8,4,5,3,16,10,2,-6,15,17,0,24,1252662-61-5
putrescine,6,-36,26,-26,-9,12,-2,-4,0,-17,1,-9,-25,-7,2,-2,-4,6,-4,-13,24,8,-6,17,110-60-1
cadaverine,1,-41,21,-17,-5,13,-7,-7,12,-10,12,-8,-16,-2,7,-1,-8,14,-2,-11,29,16,0,21,462-94-2
g-butyrolactone,9,34,53,-6,-7,43,4,7,81,-12,19,6,9,-1,16,6,125,20,-7,-8,47,23,2,29,187997-16-6
g-hexalactone,15,-39,118,18,-2,140,12,25,171,8,30,24,-36,-1,18,18,47,40,5,-3,53,54,3,24,57129-70-1
g-octalactone,7,-22,26,18,2,41,3,10,36,-5,27,17,-19,-3,0,20,25,16,20,-13,174,31,-16,101,104-50-7
g-decalactone,-1,-12,-1,-2,-22,16,-3,17,-3,-18,2,-3,-3,0,-4,-2,7,1,-8,-11,13,-5,7,9,1336-42-1
d-decalactone,0,-15,-2,-11,-23,11,-2,15,-10,-16,2,0,-4,-4,2,-5,2,0,-5,1,24,-1,-1,8,35221-79-5
methanoic acid,-2,-14,14,31,0,33,-8,-6,5,-9,8,-1,-20,3,25,2,5,12,-8,-9,14,7,0,4,1016316-60-1
acetic acid,5,-11,9,18,3,32,-1,-2,-1,0,10,2,-21,5,24,4,-5,6,10,1,27,11,-5,19,1053656-97-5
propionic acid,1,5,20,36,5,37,-3,-9,2,-5,7,7,-22,9,24,8,49,18,7,-6,41,15,-7,11,1032826-44-0
butyric acid,11,42,138,33,10,117,-3,-11,12,-7,20,17,-27,8,34,9,132,16,7,-10,39,21,-2,11,107-92-6
